"Time"	"6 sonic do"	"5 sonicinl"	"3 WP right"	"2 WPcentre"	"1 WP left"
0.00					1173.30
0.01	-299.62	-482.89	-99.29	1275.77	1173.22
0.02	-301.01	-483.50	-99.40	1275.42	1173.52
0.03	-301.20	-483.86	-99.05	1274.36	1174.13
0.04	-301.68	-483.72	-99.00	1269.32	1172.81
0.05	-301.73	-483.66	-99.43	1274.11	1173.33
0.06	-302.18	-483.02	-99.30	1274.81	1173.13
0.07	-304.22	-482.24	-99.07	1274.11	1173.37
0.08	-302.10	-483.19	-99.07	1275.12	1173.54
0.09	-301.49	-482.69	-99.23	1274.01	1172.39
0.10	-302.25	-483.60	-99.40	1273.80	1173.41
0.11	-300.95	-484.76	-99.12	1275.10	1172.45
0.12	-302.82	-484.33	-98.88	1274.99	1173.15
0.13	-303.49	-483.28	-99.31	1274.33	1173.27
0.14	-302.02	-484.60	-99.34	1275.24	1173.00
0.15	-301.48	-483.71	-99.23	1274.29	1173.57
0.16	-301.49	-483.12	-99.14	1274.46	1173.74
0.17	-302.67	-484.07	-99.11	1275.27	1171.13
0.18	-302.04	-483.54	-99.45	1276.44	1173.39
0.19	-301.23	-483.01	-99.19	1275.49	1172.73
0.20	-301.89	-483.07	-98.99	1274.54	1172.43
0.21	-301.14	-482.94	-99.10	1273.38	1172.69
0.22	-302.08	-482.80	-99.32	1274.34	1173.19
0.23	-301.53	-483.74	-99.38	1274.68	1172.87
0.24	-303.70	-484.09	-99.10	1277.26	1173.41
0.25	-301.72	-483.56	-98.94	1275.44	1173.13
0.26	-301.90	-484.25	-99.35	1275.51	1172.84
0.27	-302.05	-484.28	-99.23	1274.57	1173.29
0.28	-301.49	-484.55	-99.15	1274.59	1171.89
0.29	-301.25	-484.10	-98.99	1275.01	1172.36
0.30	-302.57	-483.24	-99.17	1275.55	1173.45
0.31	-301.57	-483.42	-99.44	1275.14	1172.95
0.32	-302.56	-484.31	-99.06	1275.37	1173.10
0.33	-301.45	-484.54	-98.92	1274.41	1172.60
0.34	-302.38	-484.74	-99.17	1275.54	1175.15
0.35	-301.18	-483.73	-99.22	1276.01	1173.28
0.36	-302.17	-484.26	-99.16	1274.95	1173.48
0.37	-301.67	-482.00	-98.91	1276.29	1173.45
0.38	-302.63	-483.34	-99.07	1275.31	1173.07
0.39	-302.34	-482.59	-99.35	1274.45	1173.27
0.40	-302.44	-484.20	-99.19	1274.82	1171.40
0.41	-301.90	-483.84	-98.89	1274.70	1173.35
0.42	-302.79	-483.71	-99.02	1275.26	1173.56
0.43	-301.89	-484.00	-99.21	1274.91	1173.08
0.44	-302.44	-483.64	-99.17	1275.89	1172.80
0.45	-300.86	-481.15	-98.97	1275.53	1172.52
0.46	-301.91	-484.19	-98.88	1274.59	1173.68
0.47	-301.18	-484.28	-99.33	1276.50	1173.31
0.48	-302.71	-484.41	-99.26	1274.95	1173.37
0.49	-301.37	-483.81	-98.88	1274.17	1172.28
0.50	-302.50	-484.30	-98.96	1277.45	1173.14
0.51	-301.70	-485.17	-99.08	1275.21	1173.72
0.52	-302.01	-484.11	-99.28	1276.11	1173.65
0.53	-302.22	-483.44	-98.99	1275.17	1173.71
0.54	-301.45	-484.31	-98.79	1274.73	1173.36
0.55	-301.85	-482.36	-99.17	1273.95	1173.10
0.56	-301.39	-484.65	-99.22	1274.38	1172.93
0.57	-301.90	-481.01	-99.00	1274.88	1173.35
0.58	-301.70	-483.30	-98.79	1275.31	1173.05
0.59	-302.95	-483.21	-98.95	1274.83	1173.16
0.60	-302.62	-483.39	-99.38	1274.44	1173.43
0.61	-302.51	-483.56	-99.07	1271.94	1173.07
0.62	-302.39	-484.03	-98.82	1272.82	1173.07
0.63	-302.06	-483.03	-99.05	1274.78	1174.54
0.64	-302.75	-483.57	-98.95	1275.92	1173.71
0.65	-302.40	-483.41	-99.11	1275.70	1173.16
0.66	-301.72	-485.37	-98.86	1275.82	1173.51
0.67	-301.59	-484.16	-98.87	1276.92	1173.67
0.68	-302.42	-483.38	-99.29	1274.37	1173.15
0.69	-302.26	-483.58	-99.04	1274.84	1172.38
0.70	-301.99	-483.54	-98.82	1276.05	1173.19
0.71	-303.51	-483.72	-98.93	1275.01	1172.89
0.72	-302.03	-483.79	-98.86	1273.65	1174.31
